,title_x,imdb_id,poster_path,wiki_link,title_y,original_title,is_adult,year_of_release,runtime,genres,imdb_rating,imdb_votes,story,summary,tagline,actors,wins_nominations,release_date
152,Jack and Dil,tt6144958,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/Jack_and_Dil_poster.jpg/220px-Jack_and_Dil_poster.jpg,https://en.wikipedia.org/wiki/Jack_and_Dil,Jack & Dil,Jack & Dil,0,2018,98,Comedy|Family,5.1,55,JACK and DIL is a modern day story of new age man Jack  carefree with little materialistic ambitions  earning as much to meet his daily needs. Jack's only passion is to read detective novels so he could write one of his own too. Problem starts when the penniless Jack falls in love with the idea of buying a dog. Rich businessman Mr.Walia (Arbaaz Khan) is keen to sell his dog but their meeting takes an altogether different turn. Jack turns a detective and his quest to own the dog lands him into chasing the Businessman's wife Shilpa ( Sonal Chauhan). The chase brings the two closer. But Jack's deal is on the deadline to find out the mystery man in Shilpa's life. Meanwhile Shilpa gets to know of Jack's On - Off relationship with his model girlfriend Lara (Evelyn Sharma).Shilpa narrates her love story with Walia who is now totally focused on his business. Jack admits to his affair with Shilpa and the furious Walia refuses to believe it. Finally he realizes he has lost his totally neglected...,JACK and DIL is a modern day story of new age man Jack  carefree with little materialistic ambitions  earning as much to meet his daily needs. Jack's only passion is to read detective ...                    ,,Amit Sadh|Arbaaz Khan|Sonal Chauhan|Evelyn Sharma|Rajdeep Choudhury|Sudip Sarangi|Sachin Parikh|,,2 November 2018 (India)
154,Pihu,tt8458202,https://upload.wikimedia.org/wikipedia/en/thumb/e/e6/Pihu_Movie_Poster.jpg/220px-Pihu_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Pihu_(film),Pihu,Pihu,0,2018,91,Drama|Thriller,6.7,1582,The social thriller starring the two year baby girl. She is living in a home where the adults are going through a complicated phase. Being a toddler  she is occasionally trapped in the accidental situations.,The social thriller starring the two year baby girl. She is living in a home where the adults are going through a complicated phase. Being a toddler  she is occasionally trapped in the accidental situations.,,Rahul Bagga|Pihu Myra Vishwakarma|,,16 November 2018 (India)
173,Jeena Isi Ka Naam Hai (film),tt5756052,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Jeena_Isi_Ka_Naam_Poster.jpg/220px-Jeena_Isi_Ka_Naam_Poster.jpg,https://en.wikipedia.org/wiki/Jeena_isi_Ka_Naam_Hai_(film),Jeena Isi Ka Naam Hai,Jeena Isi Ka Naam Hai,0,2017,173,Drama,5.6,82,The film presents the naïve vulnerability of human life  the sincere saga of love and pain  and the glimpse of human emotions in raw form. So much of human nature is captured within the frames of the film  yet it takes you to the various land giving a realistic view of existence - the story traversing from a small town of Rajasthan  moving to the city of dreams - Mumbai and then goes on to the city that never sleeps - New York  ride us through interesting characters  each one with a diverse and unique character adding slice of life.,A bollywood entertainer with universal issues directed by Keshhav Panneriy  this movie stars Arbaaz Khan  Ashutosh Rana  Himansh Kohli  Manjari Phadnis and Prem Chopra.,,Arbaaz Khan|Himansh Kohli|Ashutosh Rana|Manjari Fadnnis|Prem Chopra|Rati Agnihotri|Supriya Pathak|Aayam Mehta|Hannah Panneriy|Roma Bali|Ashok Banthia|Raju Kher|Poonam Labana|Bhanu Pratap Singh|,,3 March 2017 (USA)
177,Mantra (2016 film),tt5046500,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Mantra_%282016_film%29_first_look_poster.jpg/220px-Mantra_%282016_film%29_first_look_poster.jpg,https://en.wikipedia.org/wiki/Mantra_(2016_film),Mantra,Mantra,0,2017,90,Drama|Family,5.2,165,In 1991  the Government of India opened up the economy and unleashed the forces of globalization  forever changing the landscape of the country. A dozen years later  India was celebrating its emergence as a global economic super power. Set in 2004  in the midst of a nationwide 'India Shining' campaign  the film Mantra tells the intimate story of a family and its travails  and through it  the story of the New India. The protagonist of the film is Kapil Kapoor  the founder of an iconic Indian snack brand in the 'License Raj' old India. But today - in 2004 - he is fighting a losing battle against a multinational that has taken over the market. But it is not just his company that Kapil is desperately trying to save; it is also his own wife and children who are battling their own crises. But for Kapil to hold on to everything that is dear to him - professionally and personally - he must confront himself; what he will save  and what he will lose  depends on the extent he is willing to face ...,An Indian business owner struggles to keep his company afloat amid global competition while trying to make up for lost time with his family.,,Rajat Kapoor|Kalki Koechlin|Shiv Panditt|Adil Hussain|Lushin Dubey|,,17 March 2017 (India)
186,Ek Thi Rani Aisi Bhi,tt6752836,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/Ek_Thi_Rani_Aisi_Bhi.jpg/220px-Ek_Thi_Rani_Aisi_Bhi.jpg,https://en.wikipedia.org/wiki/Ek_Thi_Rani_Aisi_Bhi,Ek Rani Aisi Bhi Thi,Ek Rani Aisi Bhi Thi,0,2013,\N,Biography|History,0.0,0,Simple but yet elegant Rajmata and her journey from one of the highest aristocrats of the land to a well-known political personality.,Simple but yet elegant Rajmata and her journey from one of the highest aristocrats of the land to a well-known political personality.,,Hema Malini|Vinod Khanna|Sachin Khedekar|Rajesh Shringarpure|,,
206,Bachche Kachche Sachche,tt9574388,,https://en.wikipedia.org/wiki/Bachche_Kachche_Sachche,Bachche Kachche Sachche,Bachche Kachche Sachche,0,2017,\N,Drama|Short,0.0,0,,Add a Plot »,,Manoj Babani|Mukesh Tiwari|,,
231,Haraamkhor,tt2361746,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/Haraamkhor.jpg/220px-Haraamkhor.jpg,https://en.wikipedia.org/wiki/Haraamkhor,Haraamkhor,Haraamkhor,0,2015,90,Drama|Romance,6.4,3144,Shyam is a school teacher in a village. He is married to his ex-student. Sandhya  and her best friends Mintu and Kamal are some of his students. Sandhya's mom abandoned her as a child and her father  Raghuvir- a police inspector has started dating someone new  but was waiting for the right time to tell her. Kamal has a crush on Sandhya but she desires her teacher. They meet in secret and start having an affair and have sex. One month later  she reveals that she hasn't gotten her period  so they make a secret trip to the city. At the woman's clinic  Sandhya is recognized by her father's girlfriend  who keeps her secret. Sandhya is not pregnant. When they return to the village  Shyam tells Sandhya that they should stop seeing each other and keep their relationship strictly a student-teacher one. But rumors reveal their secret anyway.,An unlikely love triangle unfolds when married professor  Shyam  has an illicit affair with his student  Sandhya  who in turn is trying to be wooed by her classmate Kamal. Haraamkhor is a prohibited love story witnessed by two adolescents.,,Nawazuddin Siddiqui|Shweta Tripathi|Trimala Adhikari|Irfan Khan|Mohammad Samad|Harish Khanna|,1 win & 2 nominations,13 January 2017 (India)
235,Ranchi Diaries,tt7154994,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Ranchi_Diaries_Poster.jpg/220px-Ranchi_Diaries_Poster.jpg,https://en.wikipedia.org/wiki/Ranchi_Diaries,Ranchi Diaries,Ranchi Diaries,0,2017,93,Thriller,7.4,69,Ranchi Diaries depicts the story of Gudiya and her friends who hail from a small town Ranchi. She has the dream of becoming a pop sensation like Shakira. Her talent draws unwanted attention of the local Mafia kingpin Thakur bhaiya and makes her elope with childhood lover Manish. The chain of events cross each other and create a ruckus. To get out of this trouble Gudiya and her friends plan for a bank heist. Their ambitious bank heist becomes the joke of the town when they attempt it. Amidst the chaos between the Goons and the cops whether Gudiya and her friends could make it to the survival  is what the #RanchiDiaries all about.,An aspiring model  her friends and her godfather try to make it big in the small town of Ranchi.,The Clan with a Plan,Soundarya Sharma|Pradeep Singh|Anupam Kher|Jimmy Sheirgill|Satish Kaushik|Himansh Kohli|Taaha Shah Badusha|,,13 October 2017 (India)
236,Babuji Ek Ticket Bambai,tt7881528,https://upload.wikimedia.org/wikipedia/en/thumb/4/46/Babuji_Ek_Ticket_Bambai.jpg/220px-Babuji_Ek_Ticket_Bambai.jpg,https://en.wikipedia.org/wiki/Babuji_Ek_Ticket_Bambai,Babuji Ek Ticket Bambai,Babuji Ek Ticket Bambai,0,2017,\N,Comedy|Drama,0.0,0,,Add a Plot »,,Sudha Chandran|Yashpal Sharma|,,
242,Jia Aur Jia,tt3338188,https://upload.wikimedia.org/wikipedia/en/thumb/2/27/Jia_aur_Jia_-_Poster.jpg/220px-Jia_aur_Jia_-_Poster.jpg,https://en.wikipedia.org/wiki/Jia_aur_Jia,Jia aur Jia,Jia aur Jia,0,2017,93,Drama,4.6,140,A story about two starkly different women that share the same name. Together  they embark on a life-changing journey heading towards the same fate.,A story about two starkly different women that share the same name. Together  they embark on a life-changing journey heading towards the same fate.,Life is short,Richa Chadha|Kalki Koechlin|Arslan Goni|,,27 October 2017 (India)
