,title_x,imdb_id,poster_path,wiki_link,title_y,original_title,is_adult,year_of_release,runtime,genres,imdb_rating,imdb_votes,story,summary,tagline,actors,wins_nominations,release_date
203,Jagga Jasoos,tt4129428,https://upload.wikimedia.org/wikipedia/en/thumb/9/94/JaggaJasoosPoster.jpg/220px-JaggaJasoosPoster.jpg,https://en.wikipedia.org/wiki/Jagga_Jasoos,Jagga Jasoos,Jagga Jasoos,0,2017,161,Action|Adventure|Comedy,6.4,8162,Jagga is an Orphan who gets adopted by Badal Bagchi whom he calls Tutti Futti both are having great time in their lives until Tutti Futti has to send Jagga to a boarding school and leave for a mission over the years the only contact he they have his video tapes sent by Tutti Futti on every birthday of Jagga.One day Jagga receives the sad news about the death of his father.Jagga's detective skills make him believe another story and he sets out to find his father with the help of a journalist Shruti.,Join Jagga  a gifted teenage detective  who along with a female companion  is on a quest to find his missing father.,,Ranbir Kapoor|Katrina Kaif|Saswata Chatterjee|Chitrak Bandyopadhyay|Sayani Gupta|Saravajeet Tiwari|Nawazuddin Siddiqui|Mir Sarwar|Jimmeey Sirole|Saurabh Shukla|Yulian Caesar|Sarika Singh|Bijou Thaangjam|Denzil Smith|,11 wins & 17 nominations,14 July 2017 (USA)
205,Lipstick Under My Burkha,tt4807830,https://upload.wikimedia.org/wikipedia/en/thumb/2/23/Lipstick_Under_My_Burkha_%282017%29.jpg/220px-Lipstick_Under_My_Burkha_%282017%29.jpg,https://en.wikipedia.org/wiki/Lipstick_Under_My_Burkha,Lipstick Under My Burkha,Lipstick Under My Burkha,0,2016,117,Drama,6.8,5583,Set in the crowded by-lanes of small town India  Lipstick Under My Burkha chronicles the secret lives of four women in search of a little freedom. Though stifled and trapped in their worlds  these four women claim their desires through small acts of courage and stealthy rebellion.,In order to be independent and break free from the conservative society  four women sets on a journey to discover freedom and happiness.,,Aahana Kumra|Ratna Pathak Shah|Konkona Sen Sharma|Plabita Borthakur|,10 wins & 8 nominations,8 September 2017 (USA)
209,Jab Harry Met Sejal,tt5997666,https://upload.wikimedia.org/wikipedia/en/thumb/d/d1/Jab_Harry_Met_Sejal_poster.jpg/220px-Jab_Harry_Met_Sejal_poster.jpg,https://en.wikipedia.org/wiki/Jab_Harry_Met_Sejal,Jab Harry Met Sejal,Jab Harry Met Sejal,0,2017,143,Comedy|Drama|Romance,5.3,17317,The story revolves around Harry and Sejal's journey across Europe. A search for Sejal's engagement ring makes Harry understand love and relationships better. Sejal experiences new found freedom  security and solace in Harry's company and in between all of this - there is love  life  lies  thrill  fantasy and the search for the voice within.,A depressed middle-aged tour guide who lives in his own bubble gets another chance to experience and face reality through a chirpy girl.,What you seek is seeking you.,Shah Rukh Khan|Anushka Sharma|Björn Freiberg|Martavious Gayles|Bruce Huther|Attila G. Kerekes|Christina Murphy|Daxesh Patel|Rana Ranbir|Chandan Roy Sanyal|Evelyn Sharma|Manjot Singh|Anjan Srivastav|Aru Krishansh Verma|,6 wins & 8 nominations,4 August 2017 (USA)
211,Toilet: Ek Prem Katha,tt5785170,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/Toilet_Ek_Prem_Katha.jpg/220px-Toilet_Ek_Prem_Katha.jpg,https://en.wikipedia.org/wiki/Toilet:_Ek_Prem_Katha,Toilet - Ek Prem Katha,Toilet - Ek Prem Katha,0,2017,155,Comedy|Drama,7.2,15738,Keshav and Jaya are from two villages near Mathura where at least 80% of households have no access to lavatories. Conflict comes knocking on the first day of their marriage  when Jaya discovers that Keshav's home has no toilet and she leaves. Distraught and desperate  Keshav embarks on a mission to win back his love by battling against the age-old traditions  mindset  and value system of his country.,A woman threatens to leave her husband unless he installs a toilet in their home. To win back her love and respect  he heads out on a journey to fight against the backward society.,What happens when two people in love cannot be together because of the lack of a toilet in the house?,Akshay Kumar|Bhumi Pednekar|Sudhir Pandey|Divyendu Sharma|Anupam Kher|Atul Srivastava|Shubha Khote|,4 wins & 16 nominations,11 August 2017 (India)
214,Bareilly Ki Barfi,tt6967980,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Bareilly_Ki_Barfi_Poster.jpg/220px-Bareilly_Ki_Barfi_Poster.jpg,https://en.wikipedia.org/wiki/Bareilly_Ki_Barfi,Bareilly Ki Barfi,Bareilly Ki Barfi,0,2017,116,Comedy|Romance,7.5,14907,Set in the small-town of Bareilly  Bitti is a free-spirited young girl who lives life on her own terms and refuses to be pressured into getting married. Her life takes a shift when she meets Chirag Dubey and Pritam Vidrohi.,Set in the small-town of Bareilly  Bitti is a free-spirited young girl who lives life on her own terms and refuses to be pressured into getting married. Her life takes a shift when she meets Chirag Dubey and Pritam Vidrohi.,,Ayushmann Khurrana|Kriti Sanon|Rajkummar Rao|Pankaj Tripathi|Rohit Choudhary|Swati Semwal|,9 wins & 21 nominations,18 August 2017 (USA)
218,Shubh Mangal Saavdhan,tt6971752,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Shubh_Mangal_Savdhan_Poster.jpg/220px-Shubh_Mangal_Savdhan_Poster.jpg,https://en.wikipedia.org/wiki/Shubh_Mangal_Savdhan_(2017_film),Shubh Mangal Saavdhan,Shubh Mangal Saavdhan,0,2017,119,Comedy|Romance,6.9,6815,In this remake of Kalyana Samayal Saadham (2013)  a couple fall in love but then the groom discovers that he suffers from erectile dysfunction.,In this remake of Kalyana Samayal Saadham (2013)  a couple fall in love but then the groom discovers that he suffers from erectile dysfunction.,Stand Up for Love.,Ayushmann Khurrana|Bhumi Pednekar|Seema Bhargava|Anshul Chauhan|Brijendra Kala|Jimmy Sheirgill|Anmol Bajaj|,3 wins & 16 nominations,1 September 2017 (USA)
223,A Gentleman,tt5613834,https://upload.wikimedia.org/wikipedia/en/thumb/c/c6/A_Gentleman.jpg/220px-A_Gentleman.jpg,https://en.wikipedia.org/wiki/A_Gentleman_(2017_film),A Gentleman,A Gentleman,0,2017,145,Action|Comedy,6.3,4400,"Gaurav is on a mission to settle down. He is in the process of trying to charm Kavya into creating life with him and getting married. However  Kavya dreads the thought of taking the plunge and settling down. Her only wish is that her ""sundar susheel"" gentleman lives life to the full  with a little more risk and excitement. However  things take an interesting twist when an assignment takes Gaurav to Mumbai.",Gaurav  a simple hard working guy for a white collar job visits Mumbai for a meeting where his doppelganger is about to bring chaos in his life.,,Sidharth Malhotra|Jacqueline Fernandez|Darshan Kumaar|Hussain Dalal|Amit Mistry|Rajit Kapoor|Supriya Pilgaonkar|Sunil Shetty|Shaheed K. Woods|Zachary Coffin|Kushal Punjabi|,1 win,25 August 2017 (USA)
224,Viceroy's House (film),tt4977530,https://upload.wikimedia.org/wikipedia/en/f/f3/Viceroy%27s_House_%28film%29.png,https://en.wikipedia.org/wiki/Partition:_1947,Viceroy's House,Viceroy's House,0,2017,106,Biography|Drama|History,6.7,5993,New Dehli in March 1947. The huge and stately Viceroy's Palace is like a beehive. Its five hundred employees are busy preparing the coming of Lord Louis Mountbatten  who has just been appointed new (and last) viceroy of India by prime minister Clement Attlee. Mountbatten  whose difficult task consists of overseeing the transition of British India to independence  arrives at the Palace  accompanied by Edwina  his liberal-minded wife and Pamela  his eighteen-year-old daughter. Meanwhile  in the staff quarters  a love story is born between Jeet  a Hindu  and Aalia  a Muslim beauty. Things will prove difficult - not to say very difficult - both on the geopolitical and personal level.,The final Viceroy of India  Lord Mountbatten  is tasked with overseeing the transition of British India to independence  but meets with conflict as different sides clash in the face of monumental change.,Based on a true story,Hugh Bonneville|Gillian Anderson|Manish Dayal|Huma Qureshi|Michael Gambon|Om Puri|David Hayman|Simon Callow|Denzil Smith|Neeraj Kabi|Tanveer Ghani|Lily Travers|Jaz Deol|Arunoday Singh|,1 win,1 September 2017 (USA)
226,Newton (film),tt6484982,https://upload.wikimedia.org/wikipedia/en/6/68/Newton_%28film%29.png,https://en.wikipedia.org/wiki/Newton_(film),Newton,Newton,0,2017,106,Drama,7.7,13697,As India  the world's largest democracy  braces itself for another general election- with 9 million polling booths  more than 800 million voters  and costing nearly $5 billion -- Newton Kumar  a rookie government clerk finds himself entrusted with a task that appears deceptively simple: conducting elections in a remote village in the jungles of central India. The bushes teem with Communist guerrillas  who have been waging a decades old war against the state  even as the indigenous tribals live without any access to mainland amenities. Conducting 'free and fair' elections in a minefield like this is no child's play  as Newton learns over the course of this eventful day. Unfazed with the cynicism and danger all around him  Newton is determined to do his duty. But  as they say in the jungle  'The more things change  the worse they will get'.,A government clerk on election duty in the conflict ridden jungle of Central India tries his best to conduct free and fair voting despite the apathy of security forces and the looming fear of guerrilla attacks by communist rebels.,Electoral Rumble in the jungle.,Rajkummar Rao|Pankaj Tripathi|Anjali Patil|Raghuvir Yadav|,12 wins & 25 nominations,22 September 2017 (India)
233,Mom (film),tt5690142,https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/Mom_film_poster.jpg/220px-Mom_film_poster.jpg,https://en.wikipedia.org/wiki/Mom_(film),Mom,Mom,0,2017,146,Crime|Drama|Thriller,7.3,7355,Devaki is a biology teacher at the same school attended by her stepdaughter Arya. Although  Devaki is a caring mother  Arya remains distant. One unfortunate night  Arya is brutally attacked. When the justice system fails them  Devaki faces some tough decisions and goes to great lengths to find justice for her daughter.,Devaki is a biology teacher at the same school attended by her stepdaughter Arya. Although  Devaki is a caring mother  Arya remains distant. One unfortunate night  Arya is brutally attacked...                    ,,Sridevi|Akshaye Khanna|Sajal Ali|Adnan Siddiqui|Abhimanyu Singh|Nawazuddin Siddiqui|Pitobash|Vikas Verma|Adarsh Gourav|Riva Arora|Yuvraj Singh Bajwa|,5 wins & 12 nominations,7 July 2017 (USA)
