Name,CMP,MarCap_Cr,Assets_Cr,BookValue,Sales_Cr,PAT_12M_Cr,Investments_Cr,Capital_Employed_Cr,ROCE,ROE,ROA_12M,DebtoverEq,CFOpr5Yrs_Cr,CFOperations_Cr,Free_Cash_Flow_Cr,Export,FII_Hold,OPM,Sales_3Yrs,Profit_3Yrs,3Yrs_stock_return,Dep_Cr,Interest_Cr
Asahi India Glas,486.80,11834.11,4093.24,79.14,1014.43,437.93,103.92,3031.65,20.77,21.07,8.94,0.62,2268.68,586.06,509.19,0.00,3.29,24.11,2.86,21.40,34.38,159.69,120.96
Krishna Institu.,1473.95,11795.70,2694.24,195.71,564.07,318.58,60.33,2167.65,34.10,29.73,20.73,0.30,1121.17,324.03,154.03,0.00,10.17,29.19,21.61,107.91,,72.67,21.87
K E C Intl.,455.55,11711.66,17721.51,142.11,4064.00,291.91,0.00,6449.53,14.13,10.13,2.34,1.09,1501.67,-283.71,-425.39,0.00,11.58,5.58,7.70,-10.63,15.62,157.86,412.52
Indian Energy Ex,130.20,11700.68,1208.63,8.37,95.20,299.44,969.17,589.18,63.29,48.55,22.41,0.02,1489.38,787.72,776.89,0.00,15.79,84.19,18.76,24.29,40.15,16.32,1.97
Campus Activewe.,383.95,11697.14,1263.02,15.74,333.17,85.47,0.00,833.37,31.87,29.48,13.23,0.83,,17.87,-14.86,0.00,6.18,13.09,37.05,39.61,,53.04,19.62
BASF India,2693.75,11661.24,6282.96,603.27,3581.99,560.82,0.00,2492.10,33.51,28.20,10.33,0.04,1597.49,329.93,206.23,0.00,2.78,6.29,29.54,167.89,38.98,170.57,17.47
Castrol India,116.75,11548.00,3021.73,18.14,1121.07,810.43,0.00,1646.08,67.50,49.60,29.77,0.00,3560.27,630.21,547.00,0.00,10.84,24.02,2.40,2.32,-3.28,82.70,2.41
Mahindra CIE,303.95,11529.35,10484.99,142.35,2723.15,611.00,46.90,6982.73,11.05,7.80,4.11,0.23,3838.00,1051.20,573.40,0.00,7.26,10.96,1.45,-7.37,21.22,343.10,53.20
Chambal Fert.,277.00,11528.96,18981.02,163.08,8586.75,1294.53,528.48,13727.30,23.35,26.39,13.23,1.02,7788.07,-24.23,-187.77,0.00,11.09,8.28,16.76,30.29,23.56,299.74,108.88
Blue Star,1196.85,11527.33,4411.20,108.54,1576.24,240.46,149.62,1604.97,19.91,17.49,4.24,0.76,1168.84,91.80,-126.14,0.00,11.79,6.05,4.92,-4.19,14.79,85.98,46.40
