Name,CMP,MarCap_Cr,Assets_Cr,BookValue,Sales_Cr,PAT_12M_Cr,Investments_Cr,Capital_Employed_Cr,ROCE,ROE,ROA_12M,DebtoverEq,CFOpr5Yrs_Cr,CFOperations_Cr,Free_Cash_Flow_Cr,Export,FII_Hold,OPM,Sales_3Yrs,Profit_3Yrs,3Yrs_stock_return,Dep_Cr,Interest_Cr
Aurobindo Pharma,437.50,25634.81,37166.89,435.68,23786.88,2243.85,1542.57,28950.24,12.87,11.72,8.13,0.18,16332.30,5016.48,2692.78,0.00,21.41,15.56,6.23,3.88,-2.02,1126.52,48.64
Sundaram Finance,2291.60,25459.68,49827.43,831.66,5140.90,1180.62,6443.09,1425.17,8.15,14.11,2.72,4.04,-7425.83,1862.20,1598.68,0.00,,74.71,11.41,10.82,12.54,101.17,2236.20
Coromandel Inter,865.35,25442.13,16900.88,252.70,25141.94,1911.01,427.59,8619.91,34.69,26.65,15.20,0.22,8879.83,2078.05,1801.46,0.00,9.93,10.60,13.06,27.48,18.72,172.65,75.47
3M India,22424.25,25272.13,3516.61,2369.65,3427.62,353.44,504.80,2028.71,15.21,11.25,8.58,0.01,1160.77,333.65,265.71,0.00,4.26,13.83,3.10,-6.38,1.19,53.28,3.64
Motherson Wiring,55.90,24713.99,2769.98,2.47,6627.30,470.31,0.00,1373.96,59.42,50.10,21.01,0.34,,500.70,399.90,0.00,10.82,12.24,,,,105.50,28.50
AIA Engineering,2569.55,24236.09,6030.82,540.15,4349.79,767.46,1745.88,5334.64,17.14,13.75,12.52,0.09,1722.25,-39.22,-164.54,77.73,18.02,21.75,5.13,8.85,16.50,92.12,8.50
Timken India,3202.70,24090.30,2399.80,247.53,2572.00,406.80,193.00,1958.40,28.74,21.81,16.03,0.01,857.54,32.89,-47.05,0.00,3.90,23.23,9.81,30.09,53.65,84.34,2.45
Sona BLW Precis.,400.55,23430.34,2755.16,35.35,2077.48,349.41,270.83,2153.69,21.49,20.61,14.85,0.12,932.48,395.38,56.01,0.00,11.56,24.65,40.49,50.48,,129.54,17.24
Phoenix Mills,1309.00,23376.67,16491.95,429.95,2145.87,599.59,1534.78,14185.34,6.34,4.09,2.09,0.56,3815.65,780.61,774.11,0.00,30.60,54.77,-9.61,-14.36,18.79,185.85,294.77
Syngene Intl.,578.90,23239.04,5378.00,81.39,2810.80,425.10,959.80,3982.30,13.26,13.60,7.96,0.31,3033.00,582.20,106.70,0.00,16.79,29.87,12.53,8.30,22.92,309.70,24.10
Max Financial,671.30,23167.55,121136.04,113.31,28501.42,300.19,5237.28,-1258.42,10.60,6.96,0.30,0.13,37199.39,8495.86,8368.80,0.00,45.76,1.53,16.92,-1.19,8.38,5.00,24.74
Atul,7845.30,23154.43,5793.76,1549.18,5714.85,603.23,962.45,3902.39,18.68,14.25,11.08,0.02,2590.07,231.45,-359.07,0.00,9.20,15.92,7.96,10.96,25.17,176.69,9.17
Sumitomo Chemi.,461.25,23023.10,3454.54,44.42,3479.37,512.85,311.80,2136.86,33.69,25.11,15.30,0.01,992.98,223.19,110.73,0.00,2.05,20.17,11.28,36.12,,44.79,7.89
Torrent Power,477.40,22944.65,29547.69,227.39,20724.54,2026.19,553.53,23639.09,13.10,8.64,3.62,0.96,14953.25,3167.18,1407.48,0.00,6.77,20.02,2.73,-0.04,19.31,1333.86,628.21
GMR Airports Inf,37.80,22815.87,39512.35,-1.89,6041.28,-889.20,4087.88,24670.83,5.99,,-1.31,,9034.87,3256.11,194.10,0.00,27.85,26.11,-14.69,16.98,24.12,889.40,2018.66
Coforge,3735.45,22809.81,5349.70,463.86,7189.80,742.20,0.00,3301.90,32.08,25.43,17.08,0.27,2659.90,765.60,618.10,0.00,21.02,17.27,20.50,17.39,32.72,227.20,65.00
Kansai Nerolac,422.95,22793.61,6135.91,80.86,7329.28,407.75,128.71,4570.01,11.45,8.12,5.92,0.07,1725.65,24.77,-193.17,0.00,3.45,10.24,5.50,-8.44,-6.65,169.77,28.59
Tata Chemicals,891.70,22716.95,34358.00,753.18,14856.58,1973.65,7673.00,22814.00,8.40,7.58,4.43,0.33,8913.15,1644.33,379.06,0.00,14.92,20.95,6.88,7.48,43.10,806.12,302.84
Glaxosmi. Pharma,1340.20,22703.80,3015.29,85.88,3287.52,414.89,548.56,1268.65,36.66,81.33,43.47,0.02,2761.45,810.75,2371.01,0.00,2.17,23.69,1.57,58.15,-6.42,68.19,2.00
J K Cements,2928.50,22628.01,12381.55,586.17,8879.26,611.47,18.66,10284.21,16.62,17.35,6.57,1.05,5430.66,878.46,-649.05,0.00,15.63,16.42,14.97,37.96,36.21,342.47,269.69
Zee Entertainmen,235.05,22577.01,13923.05,113.19,8309.68,809.24,55.79,10350.95,14.86,10.00,8.04,0.03,2767.10,279.90,51.30,0.00,38.65,18.40,1.06,-12.83,-7.53,245.90,45.10
Metro Brands,825.65,22435.23,2616.98,52.51,1871.19,351.07,538.60,2155.31,19.88,20.20,10.77,0.56,1108.30,219.70,172.26,0.00,3.28,33.55,3.33,12.44,,134.24,50.43
Thermax,1869.20,22272.70,7837.65,297.35,7336.39,349.98,1349.43,3146.30,11.50,9.09,4.39,0.13,1837.94,324.71,240.93,0.00,12.35,6.61,0.86,-6.33,21.18,113.24,25.17
SKF India,4491.40,22204.57,2887.09,424.63,4138.99,483.49,2.48,1898.06,30.59,22.90,16.02,0.01,1259.03,57.09,-33.69,0.00,6.36,16.45,6.50,5.79,28.17,57.10,2.08
Dixon Technolog.,3718.05,22144.77,5048.14,187.32,12747.84,231.90,25.33,1659.93,22.52,21.89,5.33,0.37,745.01,272.74,-144.65,0.00,16.27,3.65,53.04,44.37,70.55,83.95,49.40
Relaxo Footwear,888.45,22115.83,2380.55,70.82,2778.51,194.10,142.07,1881.68,17.55,13.64,9.97,0.10,1165.73,55.99,-82.93,0.00,3.11,13.62,5.00,8.98,12.76,113.54,17.20
Ipca Labs.,864.35,21928.92,7898.15,227.75,5906.26,613.52,370.10,6262.22,20.39,17.37,13.00,0.13,3358.68,856.04,379.93,48.62,10.57,17.68,15.67,26.59,14.49,232.42,11.20
LIC Housing Fin.,395.05,21730.24,265234.31,463.99,20784.77,3123.06,6103.48,-5052.60,7.10,10.08,0.93,9.12,-89122.70,-16729.27,-16764.56,0.00,20.97,88.82,4.72,-2.07,-2.31,55.19,14151.09
Crompton Gr. Con,340.90,21677.34,5238.20,41.07,5881.90,581.45,2543.41,2308.73,23.76,26.31,12.97,0.62,2583.03,730.19,559.60,0.00,39.69,13.07,6.26,13.34,11.56,42.29,35.31
Oil India,198.80,21557.98,70704.44,342.81,38245.87,8116.83,29728.06,30455.29,21.55,20.37,11.32,0.48,29993.54,9309.57,3341.58,0.00,11.78,34.58,23.42,11.83,9.82,1824.48,940.12
Aarti Industries,590.85,21418.55,8640.83,129.34,7426.91,1226.24,28.29,7393.21,22.07,27.75,15.10,0.59,3516.63,470.76,-835.29,0.00,12.11,24.96,18.87,38.63,17.42,288.52,114.29
Bayer Crop Sci.,4745.00,21325.02,4629.80,640.54,5072.70,660.59,39.30,2836.30,30.91,23.69,13.99,0.03,2122.30,215.50,168.20,0.00,3.10,17.74,14.34,21.10,8.98,64.50,12.90
Pun. & Sind Bank,31.45,21316.14,121067.55,20.67,7444.82,1129.72,42280.87,10515.45,4.99,9.29,0.90,7.46,-8670.36,-5998.57,-6119.36,0.00,0.01,68.43,-6.06,57.11,18.19,137.09,4444.50
Bata India,1624.85,20883.80,3151.20,100.18,3279.33,309.47,0.00,2222.22,8.37,5.74,2.99,0.95,1759.39,211.51,163.79,0.00,7.87,22.46,-6.61,-32.30,-1.69,241.96,99.43
Laurus Labs,384.10,20689.58,7494.71,70.46,5303.65,789.43,361.72,5472.17,23.40,24.62,12.28,0.51,2523.87,822.97,61.58,0.00,22.67,27.01,28.16,98.78,73.41,235.48,95.86
Devyani Intl.,171.20,20625.09,2602.89,6.84,2667.33,281.21,0.00,2055.71,15.98,42.84,8.80,1.71,1359.60,450.59,157.61,0.00,8.30,23.19,16.72,56.96,,221.33,128.73
Fortis Health.,272.15,20546.19,12278.39,92.03,5939.80,466.78,151.41,9866.42,10.82,6.12,4.78,0.18,1836.79,865.39,750.12,0.00,30.59,17.88,8.56,65.45,27.73,300.84,146.85
L&T Fin.Holdings,82.40,20419.18,107655.27,82.52,12044.03,1231.19,11134.83,7585.40,6.58,4.66,0.84,4.18,-13579.04,6078.06,6001.46,0.00,6.75,57.22,-3.72,-26.07,-8.31,102.64,5765.01
CRISIL,2779.85,20310.71,2430.49,215.21,2652.48,540.70,464.38,1343.77,39.50,29.28,17.95,0.07,2018.68,403.12,430.12,0.00,6.69,25.99,9.58,5.49,14.11,105.98,8.93
Navin Fluo.Intl.,4085.95,20250.37,3051.91,392.46,1604.61,276.20,281.05,2523.82,19.14,15.16,12.31,0.31,728.19,74.76,-501.08,0.00,20.07,24.04,13.43,21.47,59.39,47.90,1.90
Grindwell Norton,1826.75,20225.78,2245.98,146.09,2333.41,341.86,651.37,1411.75,25.72,19.17,14.15,0.02,1053.87,186.58,66.68,0.00,7.52,19.86,7.99,21.57,46.57,53.47,4.12
Mindspace Busine,339.49,20132.37,22583.40,257.37,2084.60,434.85,4.40,21119.40,5.29,2.96,2.24,0.32,,1159.80,585.60,0.00,,69.31,6.93,-0.37,,328.90,265.00
Hatsun Agro,897.70,19996.16,3390.00,48.22,1747.73,171.91,15.74,2881.93,14.60,20.14,6.44,1.72,2298.35,576.38,6.56,0.00,4.17,9.52,10.20,21.46,28.46,310.77,106.63
Pfizer,4343.05,19868.47,3830.72,637.46,637.47,527.09,0.00,2448.65,29.18,23.26,17.06,0.01,1847.20,667.08,653.83,0.00,2.55,31.93,7.85,12.53,1.43,115.00,10.70
Vinati Organics,1905.35,19583.58,2252.80,192.48,566.29,401.57,107.18,1671.59,26.59,20.56,18.14,0.00,1100.63,127.10,-39.56,0.00,4.76,26.50,12.72,7.03,26.03,45.49,1.65
Apollo Tyres,308.15,19570.64,25774.75,177.82,5956.05,722.49,60.73,19900.13,6.98,5.49,2.43,0.63,9993.78,2238.76,422.40,0.00,21.75,11.95,6.08,-8.54,24.11,1399.67,465.16
Dr Lal Pathlabs,2345.80,19552.68,2302.00,185.93,533.80,248.00,123.90,1904.90,29.44,25.08,17.49,0.18,1544.34,446.69,-27.80,0.00,23.26,24.35,20.15,20.14,16.33,108.11,30.18
Sundram Fasten.,923.60,19407.46,4469.99,136.46,1401.65,465.91,78.80,3522.57,20.07,18.30,11.20,0.25,2486.82,401.18,202.19,0.00,11.75,15.17,2.46,-0.26,26.12,190.79,28.72
Endurance Tech.,1367.35,19233.53,6506.90,286.55,2360.63,473.24,491.06,4666.31,14.10,12.52,8.08,0.16,4014.84,741.55,222.02,27.11,6.87,11.51,0.18,-2.32,9.00,381.73,6.35
Sun TV Network,483.65,19059.90,9626.24,224.83,825.65,1782.35,4636.08,6904.01,27.46,20.45,18.46,0.01,7948.85,1633.67,503.99,0.00,9.79,65.76,-1.77,3.73,2.80,306.12,33.25
Piramal Enterp.,790.45,18865.17,80389.44,1150.91,1893.71,-308.67,23415.56,2296.61,8.61,5.73,2.29,1.72,-7647.28,8749.59,7827.64,0.00,32.05,25.39,5.60,3.36,-4.63,665.78,4479.87
Poonawalla Fin,246.10,18829.58,19292.93,83.73,627.27,514.35,659.29,1040.53,8.42,9.10,2.53,1.94,-940.50,-3049.29,-3087.92,0.00,7.48,62.92,-6.56,7.32,67.79,54.55,716.17
Rajesh Exports,636.10,18781.49,24459.08,455.64,80270.07,1083.41,1208.77,12992.57,8.85,8.53,4.26,0.05,-7070.66,-4.38,-92.03,0.00,17.62,0.42,11.42,-7.94,-2.18,90.87,89.97
Whirlpool India,1474.65,18708.88,5372.75,270.43,1611.54,259.33,0.00,3831.07,10.67,9.23,5.38,0.01,1788.85,97.77,-70.19,5.24,3.04,6.50,4.71,-11.17,-15.36,147.46,15.87
Emami,413.95,18261.40,3173.44,52.87,813.75,831.21,332.79,1877.51,30.61,41.63,28.70,0.04,3237.68,643.85,163.62,0.00,11.25,25.78,5.81,38.18,10.81,334.78,5.07
KPIT Technologi.,650.45,17831.68,2440.56,50.77,744.83,317.49,127.79,1495.13,24.14,21.49,12.66,0.13,1642.46,474.99,406.49,0.00,16.89,18.76,55.96,50.43,94.17,119.61,19.40
Prestige Estates,441.00,17678.00,32823.70,234.01,1427.70,521.02,761.20,14685.50,8.51,6.09,2.02,0.81,8039.30,2139.90,-130.50,0.00,23.17,23.79,7.30,15.23,9.67,471.00,555.30
Blue Dart Expres,7423.15,17615.13,3070.81,433.35,1325.28,472.82,368.37,1850.19,31.04,55.18,14.11,1.04,2534.11,859.79,689.33,0.00,5.13,21.35,11.59,64.82,50.51,395.37,86.97
Kajaria Ceramics,1080.15,17199.50,3133.27,140.46,1077.76,381.58,0.00,2530.58,24.48,18.93,13.92,0.10,1714.24,425.52,162.13,0.00,19.44,14.87,7.82,17.48,27.99,115.36,12.73
IIFL Finance,442.80,16824.02,48679.54,220.12,2022.88,1339.90,2590.69,7485.26,11.30,20.02,2.74,4.30,-10763.82,1783.73,1684.13,0.00,25.57,63.48,11.88,18.05,45.96,121.70,3016.17
Fine Organic,5467.90,16764.57,1631.37,420.00,919.17,536.26,35.36,1209.56,38.79,30.71,23.78,0.03,583.79,66.98,5.88,0.00,6.74,25.75,20.95,23.98,42.45,39.90,5.11
K P R Mill Ltd,489.70,16738.63,4823.81,99.20,1219.96,861.53,334.04,4282.84,31.09,29.93,20.44,0.31,2233.37,494.23,-392.43,0.00,3.58,24.08,12.53,35.61,54.89,141.12,23.29
ZF Commercial,8767.40,16622.99,2764.32,1173.36,792.83,219.48,1.00,2160.18,8.70,6.30,5.04,0.02,961.72,138.26,-38.05,0.00,1.23,11.70,-3.77,-20.92,11.30,92.43,1.90
IRB Infra.Devl.,269.45,16272.09,43452.54,215.64,1342.95,695.68,4847.47,31822.91,8.79,3.66,0.85,1.28,9782.41,364.11,-1010.23,0.00,48.76,48.35,-4.71,-25.00,59.42,682.77,1894.04
The Ramco Cement,684.95,16184.85,13919.15,278.36,1784.36,330.38,201.07,11828.80,9.51,14.68,7.31,0.74,5657.13,1129.05,-680.46,0.23,6.63,14.83,5.13,20.89,-2.97,400.84,113.00
Carborundum Uni.,850.10,16143.71,3986.67,144.31,1127.77,326.34,150.97,3073.61,20.23,14.88,11.79,0.16,1516.96,244.53,-315.35,0.00,9.38,13.85,7.33,10.68,38.09,114.57,5.64
Five-Star Bus.Fi,553.65,16131.49,6627.66,137.55,360.55,453.56,164.40,549.39,15.09,15.05,7.47,0.63,-3354.40,-277.16,-285.78,0.00,,73.10,46.16,42.63,,12.25,302.41
